ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DESCRIPCION,COSTO_INSTALACION,TIPO_PAGO,VIGENCIA_BOLSA,UNIDAD_VIGENCIA_BOLSA,NOMBRE_TARIFA_PLAN,MB_DISPONIBLES,PRECIO_MENSUAL,MINUTOS_COMBOS,DENOMINACION_TECNOLOGIA
668,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,SMART MIXTO 25,200,25,,INTERNET MOVIL
669,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,SMART MIXTO 109,2000,109,,INTERNET MOVIL
670,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,BB TIGO FULL,3000,239,,INTERNET MOVIL
671,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,BB TIGO MAXIMO,10000,289,,INTERNET MOVIL
672,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,EXTRA MEGAS GO SMART,500,39,,INTERNET MOVIL
673,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,CORTO 7070,400,35,,INTERNET MOVIL
674,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,EXTRA 150 MB,150,25,,INTERNET MOVIL
675,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,EXTRA 300 MB,300,40,,INTERNET MOVIL
676,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,EXTRA 500 MB,500,60,,INTERNET MOVIL
677,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,EXTRA 1000 MB,1000,90,,INTERNET MOVIL
678,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,IM FF 2500   3 5G,2500,99,,INTERNET MOVIL
679,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,IM FF 3500   3 5G,3500,149,,INTERNET MOVIL
680,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,IM FF 5200   4G,5200,199,,INTERNET MOVIL
681,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,IM FF 7500   4G,7500,289,,INTERNET MOVIL
682,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,IM FF 2500   EXTRA 3000MB,5500,218,,INTERNET MOVIL
683,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,IM FF 3500   EXTRA 3000MB,6500,268,,INTERNET MOVIL
684,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,IM FF 5200   EXTRA 3000MB,8200,318,,INTERNET MOVIL
685,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,IM FF 7500   EXTRA 3000MB,9500,408,,INTERNET MOVIL
686,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,IM FF 2500   EXTRA 1800MB,4300,179,,INTERNET MOVIL
687,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,IM FF 3500   EXTRA 1800MB,5300,229,,INTERNET MOVIL
688,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,IM FF 5200   EXTRA 1800MB,7000,279,,INTERNET MOVIL
689,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,IM FF 7500   EXTRA 1800MB,9300,369,,INTERNET MOVIL
667,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,SMART MIXTO 10,70,10,,INTERNET MOVIL
1216,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,30,dias,DATOS PRE 550 MB,550,75,0,PAQUETES
1209,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,7,dias,PAQUETE SEMANA,5050,100,0,PAQUETES
1210,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,30,dias,PAQUETE MES,20050,350,0,PAQUETES
1212,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,30,dias,INTERNET TIGO MES B  SICO,4000,200,0,PAQUETES
1213,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,30,dias,INTERNET TIGO MES SUPERIOR,10000,300,0,PAQUETES
1214,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,30,dias,DATOS PRE 75 MB,75,25,0,PAQUETES
1215,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,30,dias,DATOS PRE 250 MB,250,75,0,PAQUETES
1217,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,30,dias,DATOS PRE 1050 MB,1050,100,0,PAQUETES
1225,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,60,minutos,PAQUETIGO HORA,520,7,0,PAQUETES
1226,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,30,dÃ­as,PAQUETIGO MENSUAL,6200,180,0,PAQUETES
1242,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,72,horas,PAQUETIGO 1700 X 3 DIAS,1700,21,0,PAQUETES
1227,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,72,horas,PAQUETIGO 500 X 3 DIAS,500,6.5,0,PAQUETES
1235,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,0,-,PAQUETIGO TODO EN UNO  CORTO 321 ,1100,36,0,PAQUETES
1243,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,1,horas,HORA,520,7,0,PAQUETES
1244,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,24,horas,DIA,1050,20,0,PAQUETES
1245,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,7,dÃ­as,SEMANA,5050,100,0,PAQUETES
