fecha,departamento,tipo,inmueble,precio,tamaño,dormitorios,titulo,descripcion
2024-03-15,Cochabamba, Venta, Lote / Terreno,,600,,Dueño Vende Lote En,"DUEñO vende lote en Quillacollo, 200 - 300 - 600 m2. Fono: 67519571."
2024-03-15,Cochabamba, Alquiler, Departamento,100,,3,1 700 Bs Cruce,1.700 BS. Cruce Taquiña alquiler departamento 3 dormitorios con cortinas 2 baños dependencias completas lavandería garaje opcional entrega inmediata 77994624 whatsapp
2024-03-15,Cochabamba, Anticrético, Casa / Chalet,000,,1,12 000 $us Cruce,12.000 $US. Cruce Taquiña anticrético casita totalmente independiente 1 dormitorio amplio dependencias patiecito garaje moto Libre de gravámenes 77994624 Whatsapp
2024-03-15,Cochabamba, Anticrético, Casa / Chalet,000,,1,12 000 $us Anticrético,"12.000 $US anticrético, casita independiente, Cruce Taquiña, 1 dormitorio, dependencias, gas, lavandería, garaje moto. 77994624"
2024-03-15,Cochabamba, Anticrético, Departamento,,,2,Anticretico Zona Las Cuadras,"ANTICRETICO (Zona: Las Cuadras) departamento de 2 dormitorios. Nicaragua S-777 Telf. 4257662, Cel. 64895372."
2024-03-15,Cochabamba, Anticrético, Habitación,5100,,2,2 Cuartos En Anticrético,"2 CUARTOS en anticrético, ubicado en calle final Sucre, Cel. whatsapp. 79378756, 79974762, precio 5.100 $us, (los dos)."
2024-03-15,Cochabamba, Venta, Departamento,,73,2,Se Vende Departamento De,"SE VENDE departamento de 2 dormitorios, 1 baño, zona Av. América oeste, de 73 mts, sin parqueo. Ref. 76353933."
2024-03-15,Cochabamba, Anticrético, Habitación,5000,,,Anticretico 1 Habitación Más,"ANTICRETICO 1 habitación, más baño y ducha independiente, 5.000 $us, zona Base Aérea. 70798503."
2024-03-15,Cochabamba, Venta, Casa / Chalet,,530,,Venta Hermosa Casa Inmediaciones,"VENTA hermosa casa, inmediaciones Cine Center, 530 m2, lote 380 m2 construcción, Cel./WP 75900145, 77457710."
2024-03-15,Cochabamba, Venta, Lote / Terreno,,520,,Vendo Lote 520 M2,"VENDO lote, 520 m2, Pucara Grande, c/luz. 78336217."
2024-03-15,Cochabamba, Venta, Oficina,,150,,Venta Oficinas Torres Del,"VENTA oficinas, Torres del Prado, con 2 parqueos, 4 bauleras, 150 m2, Cel./WP. 75900145, 77457710."
2024-03-15,Cochabamba, Venta, Lote / Terreno,,98,,Venta Medias Aguas Z,"VENTA  Medias aguas, Z. Norte de 600,98 m2 sobre Casto Rojas entre Atacama y Tocopilla, a 1 cuadra de la Melchor Pérez de Holguín Cel: 72638205"
2024-03-14,Cochabamba, Venta, Casa / Chalet,185000,,3,Thunupa Villavicencio Casa Amplia,"THUNUPA, VILLAVICENCIO Casa amplia, 3 dormitorios, dependencias, patio, jardín, garaje amplio, $us. 185.000, 79788738"
2024-03-14,Cochabamba, Venta, Casa / Chalet,118000,,3,Melchor Perez Simon Lopez,"MELCHOR PEREZ, SIMON LOPEZ Casa, 2 plantas, 3 dormitorios, dependencias, tienda, patio, garaje, $us. 118.000, 79788738"
2024-03-14,Cochabamba, Venta, Casa / Chalet,165000,,3,Tadeo Haenke Beijing Casa,"TADEO HAENKE, BEIJING Casa, 2 plantas, 3 dormitorios, dependencias, patio, jardín, garaje, $us. 165.000. Ofertable, 79788738"
2024-03-14,Cochabamba, Venta, Casa / Chalet,,,3,Final America Oeste Bonita,"FINAL AMERICA OESTE Bonita casa, 3 niveles, master suite, suite, 3 dormitorios, escritorio, dependencias, dependencias de servicio, patio, jardín, parrillero, garaje, 79788738"
2024-03-14,Cochabamba, Venta, Casa / Chalet,180000,,3,Villa Moscu Bonita Casa,"VILLA MOSCU Bonita casa, 2 plantas, 2 suites, 3 dormitorios, escritorio, dependencias, bar, sauna, dependencias de servicio, horno, semi sótano, patio, jardín, parrillero, garaje, $us 180.000, Ofertable, 79788738"
2024-03-14,Cochabamba, Venta, Casa / Chalet,297000,420,2,U M S S,"U.M.S.S. Casa a precio de lote, 420 m2, 2 dormitorios, dependencias, patio, jardín, garaje, $us. 297.000, Ofertable, 79788738"
2024-03-14,Cochabamba, Venta, Casa / Chalet,,,2,Temporal Casa Minimalista 2,"TEMPORAL Casa minimalista, 2 plantas, suite, 2 dormitorios, dependencias, patio, jardín, garaje, 79788738"
2024-03-14,Cochabamba, Venta, Casa / Chalet,150000,,2,Vendo Casa A Estrenar,"VENDO Casa a estrenar en condominio 1 suite, 2 dormitorios, garaje 2 autos, 150.000 $us. zona alto Aranjuez (templo mormón). 78350336."
2024-03-14,Cochabamba, Venta, Casa / Chalet,370000,,2,Vendo Casa 3 Plantas,"VENDO casa 3 plantas, 2 suites, 2 dormitorios. Pasos Gabriel René moreno y américa. 370.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Casa / Chalet,235000,,2,Vendo Casa A Estrenar,"VENDO casa a estrenar en condominio, 1 suite, 2 dormitorios. Mirador 235.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Casa / Chalet,159000,,2,Vendo Casa 1 Suite,"VENDO casa 1 suite, 2 dormitorios. Garaje 2 movilidades. Av. Ecológica 2 cuadras antes del surtidor. 159.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Casa / Chalet,240000,,3,Vendo Casa 3 Dormitorios,"VENDO casa 3 dormitorios, altillos. Departamento auxiliar. Zona Muyurina (pasos jardín botánico). 240.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Casa / Chalet,143000,,2,Vendo Casa Dentro Urbanización,"VENDO Casa dentro Urbanización bella vista, 1 suite, 2 dormitorios, escritorio, sala de estar. Sacaba 4 ½ a una cuadra de la circunvalación. 143.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Casa / Chalet,699000,,2,Vendo Casa Urb Lomas,"VENDO Casa Urb. Lomas de Aranjuez, 3 suites, 2 dormitorios, sala de cine, vista panorámica. 699.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Casa / Chalet,230000,59,2,Vendo Casa Planta Baja,"VENDO casa planta baja lote 288.59 m2, 1 suite, 2 dormitorios. Pasos Beijing y Simón López 230.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Casa / Chalet,580000,956,4,Vendo Casa 956 M2,"VENDO Casa 956 m2 lote frente 19.9m. Construcción planta baja 4 dormitorios. Zona temporal SEMAPA, a una cuadra de la circunvalación. 580.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Casa / Chalet,680000,64,,Vendo Casa Planta Baja,"VENDO Casa planta baja, lote 847.64 m2. 4 suites, 5 baños, living comedor, cocina con comedor de diario, escritorio, sala de cine, amplio jardín. Zona Colegio Loyola, 680.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Casa / Chalet,230000,505,,Vendo Casa Como Lote,VENDO casa como lote 505 m2 sobre Av. Rubén Darío (pasando puente Muyurina) 230.000 $us. 78350336.
2024-03-14,Cochabamba, Venta, Casa / Chalet,390000,531,3,Vendo Edificio 4 Plantas,"VENDO Edificio 4 plantas, lote 531 m2. Almacenes, oficinas, departamento 3 dormitorios. Frente al parque acuático, sobre Av. 390.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Departamento,143000,167,3,Lanza Chuquisaca Bonito Departamento,"LANZA, CHUQUISACA Bonito departamento, 167 m2, 3 dormitorios, dependencias, garaje, baulera, $us. 143.000, 79788738"
2024-03-14,Cochabamba, Venta, Departamento,55000,91,3,Km 7 Blanco Galindo,"KM 7 BLANCO GALINDO Bonito departamento, 91 m2, 3 dormitorios, dependencias, garaje, piscina, áreas comunes, $us. 55.000, 79788738"
2024-03-14,Cochabamba, Venta, Departamento,115000,120,2,Vendo Departamento 120 M2,"VENDO departamento 120 m2 piso 8, vista panorámica, 1 suite, 2 dormitorios, garaje, baulera. Melchor Urquidi y Portales (pasos Hupermall). 115.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Departamento,77000,84,1,Vendo Departamento 84 M2,"VENDO departamento 84 m2 1 suite, 1 dormitorio. Pando y Ciclovía. 77.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Departamento,83000,95,1,Vendo Departamento 95 M2,"VENDO departamento 95 m2 1 suite, 1 dormitorio, garaje, baulera, piscina. zona Puente Cobija 83.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Departamento,69000,74,1,Vendo Departamento 74 M2,"VENDO Departamento 74 m2, 1 suite, 1 dormitorio, parqueo, baulera. Beijing Tadeo Haenke. 69.000 $us. 78350336."
2024-03-14,Cochabamba, Venta, Departamento,95000,122,2,Vendo Departamento 122 M2,"VENDO departamento 122 m2, 1 suite, 2 dormitorios, garaje, baulera. América y Juan de la Rosa. 95.000 $us. 78350336."
