ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,CATEGORIA,UNIDAD_VIGENCIA_BOLSA,MINUTOS_PULSOS_UNIDAD,MINUTOS_PULSOS_MOVILES,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,RED_DESTINO,TIPO_PAGO,DESTINO_LLAMADA,NOMBRE_TARIFA_PLAN,ORIGEN_LLAMADA,PRECIO_MENSUAL,SERVICIO_TP,DENOMINACION_TECNOLOGIA,OTROS_BENEFICIOS
5777,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,locutorio,20 segundos,,,,,,Fijo Local,,SANTA CRUZ,TELEFONIA PUBLICA,SANTA CRUZ,0.6,LOCAL,OTROS,
4724,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,RURAL,,RURAL,TELEFONIA P  BLICA,RURAL,0.6,LOCAL,OTROS,
7826,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,,,LOCUTORIO,DURACIÃN LIMITADA,,,,,,fijo,,CIUDAD,LOCUTORIOS,DEPARTAMENTO,0.5,LOCAL,OTROS,
5787,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,fijo,,cuba,TELEFONIA PUBLICA,SANTA CRUZ,8.1,LDI,OTROS,
10726,AXS BOLIVIA S A   EX AES ,AXS BOLIVIA,,,TELEFONO PUBLICO O SITIOS AXS,Cada 3 segundos,,,,,,"Fijo Local, Movil o TP",,"Telefono Fijo, Movil o Telefono Publico",TP RURAL A FIJO O TP,Telefono publico Rural,2,LOCAL,OTROS,
7000,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.2 Bs.Cada 1 Segs.,,,,,,Movil,,Cuba ,TELECENTROS,Cochabamba,12,LDI,OTROS,
5995,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD CAPITAL,,CIUDAD CAPITAL,TELEFONIA P  BLICA,RURAL,1.5,LOCAL,OTROS,
7828,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,,,LOCUTORIO,DURACIÃN LIMITADA,,,,,,MÃVIL LOCAL,,CIUDAD,LOCUTORIOS,DEPARTAMENTO,1.15,LOCAL,OTROS,
7004,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.1 Bs.Cada 6 Segs.,,,,,,Fijo,,Europa,TELECENTROS,Cochabamba,1,LDI,OTROS,
10725,AXS BOLIVIA S A   EX AES ,AXS BOLIVIA,,,TELEFONO PUBLICO O SITIOS AXS,cada 10 Segundos,,,,,,Movil,,Telefono Movil,TP LOCAL A MOVIL,TELEFONO PUBLICO CIUDAD CAPITAL,1.8,LOCAL,OTROS,
5786,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,fijo,,"chile, peru, venezuela, italia",TELEFONIA PUBLICA,SANTA CRUZ,4.5,LDI,OTROS,
