ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,NOMBRE_TARIFA_PLAN,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,SMS_LIBRES,RED_DESTINO,TARIFA_SMS_ADICIONAL,MB_DISPONIBLES,ORIGEN_LLAMADA,PRECIO_MENSUAL,PRECIO_MB_ADICIONAL,DENOMINACION_TECNOLOGIA,TIPO_PAGO,OTROS_BENEFICIOS
11808,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,PYME EXACTO 300   PARAMOUNT    ,0.80,0.80,0.80,0,,0.20,0,,329,0.029,,,
11435,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,GIGAPLAN 320,0.60,0.50,0,5,,0.20,30720,,320,0.02,,,
13751,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,FF SMART 420,0.83,0.83,0.83,NA,,0.20,5000,,420,0.03,,,
13748,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,FF SMART 150,0.85,0.85,0.85,NA,,0.20,500,,150,0.03,,,
11798,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,POSTPAGO F  CIL 75   PARAMOUNT    ,1.20,0.67,0.67,0,,0.20,0,,104,0.029,,,
13694,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,WSLC  S ,0,0,0,0,,0,0,,39,0,,,
12403,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,PLAN SATELITAL IRIDIUM,9.00,9.00,9.00,0,,1,0,,650,0,,,
12136,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,BOLSA EMPRESA,"0,60","0,60","0,60",0,,0.20,0,,24999,0.0092,,,
13729,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,TIGO GSM 170,0.85,0.85,0.85,0,,0.20,0,,170,0.03,,,
9866,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MINISMART FF 550,0.80,0.69,0.69,0,,0.20,1500,,550,0.03,,,
12550,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,CUENTA CONTROLADA 190,0.86,0.67,0.67,0,,0.20,0,,190,0.029,,,
13231,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MEGA PLAN 129,0.80,0.80,0.80,ilimitado|,,0.20,7000,,129,0.03,,,
12495,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,PYME EXACTO 200,0.80,0.80,0.80,0,,0.20,0,,200,0.029,,,
9829,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,PAQUETIGO DE MINUTOS HOME 1,10,10,10,0,,0.20,0,,10,0.15,,,
7123,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,PRE PAGO SOLIDARIO ,0.50,0.37,0.25,0,,0.12,0,,0,0.008,,,
12552,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,CUENTA CONTROLADA 100,0.90,0.67,0.67,0,,0.20,0,,100,0.029,,,
12997,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,PLATINUM PLUS    ,0.80,0.80,0.80,200,,0.20,ILIMITADO,,1100,0.03,,,
10924,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,SMALL,0.60,0.50,0,5,,0.20,0,,50,0.02,,,
9789,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,ENTERPRISE ADVANCED 200,0.85,0.85,0.85,50,,0.20,2500,,200,0.03,,,
9826,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,PAQUETIGO MINUTOS ,1.80,1.80,1.80,0,,0.20,0,,1.8,0.15,,,
8116,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,PRE PAGO 3,1.40,1.05,0.7,0,,0.20,0,,0,0.03,,,
12977,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,EMPRESA 600,0.60,0.60,0.60,0,,0.20,30000,,600,0.03,,,
9793,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,NEGOCIO 275,0.85,0.85,0.85,200,,0.20,12000,,275,0.03,,,
12695,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,CC 100   PARAMOUNT    ,0.90,0.67,0.67,0,,0.20,0,,129,0.029,,,
12693,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,WOW SIMPLE,1,1,1,1000,,0.20,20000,,149,0.029,,,
9865,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MINISMART FF 450,0.80,0.69,0.69,0,,0.20,1000,,450,0.03,,,
12565,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,A TU MEDIDA   PLAN S FACIL,1,1,1,0,,0.20,750,,150,0.029,,,
13660,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MEGA PLAN 305,0.80,0.80,0.80,ilimiTADO,,0.20,18000,,305,0.03,,,
11431,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,GIGAPLAN 250,0.60,0.50,-,5,,0.20,ILIMITADO,,250,0.02,,,
13661,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MEGA PLAN 595,0.80,0.80,0.80,ilimitado,,0.20,27000,,595,0.03,,,
10923,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,SIMPLE ILIMITADO 750,0,0,0,100,,0.20,25600,,750,0.02,,,
13646,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,PAQUETIGO SMS ,2.30,2.30,2.30,12,,0.20,0,,2.3,0.15,,,
7460,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,FACTURA FIJA MINICABINA 50,0.80,0.80,0.80,0,,0.20,0,,50,0.03,,,
12989,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,ENTERPRISE 150,0.85,0.85,0.85,200,,0.20,5000,,150,0.03,,,
11816,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,INTELIGENTE 1000   PARAMOUNT    ,0.8,0.8,0.8,200,,0.20,15005,,1029,0.029,,,
