ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,COSTO_INSTALACION,TIPO_PAGO,OTROS_BENEFICIOS,NOMBRE_TARIFA_PLAN,ANCHO_BANDA_BAJADA,PRECIO_MENSUAL,ANCHO_BANDA_SUBIDA,DENOMINACION_TECNOLOGIA
5940,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,La Paz,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 10  ,10,610,10,GPON
5940,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Cochabamba,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 10  ,10,610,10,GPON
5940,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Santa Cruz,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 10  ,10,610,10,GPON
5940,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Oruro,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 10  ,10,610,10,GPON
5940,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Tarija,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 10  ,10,610,10,GPON
5940,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Potosi,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 10  ,10,610,10,GPON
5940,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Chuquisaca,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 10  ,10,610,10,GPON
5940,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Beni,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 10  ,10,610,10,GPON
5940,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Pando,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 10  ,10,610,10,GPON
6199,DATALAN,DATALAN,La Paz,,150,PREPAGO,Servicio de internet de acceso fijo ,PLAN HOGAR ULTRA,40,340,12,FIBRA
