ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,CATEGORIA,MINUTOS_PULSOS_FIJOS,MINUTOS_PULSOS_UNIDAD,MINUTOS_PULSOS_MOVILES,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,COSTO_INSTALACION,TIPO_PAGO,OTROS_BENEFICIOS,NOMBRE_TARIFA_PLAN,ANCHO_BANDA_BAJADA,PRECIO_MENSUAL,ANCHO_BANDA_SUBIDA,DENOMINACION_TECNOLOGIA
5749,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,267,0,0,0.45,0.45,0.45,280,POSTPAGO,,PLAN CORPORATIVO PLUS 2,,187.5,,CABLE
6019,COOPERATIVA DE TELECOMUNICACIONES SUCRE LTDA  COTES LTDA ,COTES LTDA,Chuquisaca,,RESIDENCIAL,120,LLAMADAS SIN LÃMITE DE TIEMPO A TELÃFONOS DE COTES,0,0,0,0,280.2,POSTPAGO,,RESIDENCIAL,,36.5,,CABLE
5750,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,80,0,0,0.56,0.56,0.56,0,POSTPAGO,,PLAN 1 000 PLUS,,39.7,,CABLE
5942,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,no socios,80,0.00,0.00,0.56,0.56,0.56,0,PREPAGO,,PLAN 500 ,,83.5,,CABLE
5752,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,80,0.00,0.00,0.56,0.56,0.56,0,POSTPAGO,,PLAN 500 PLUS,,42,,CABLE
5916,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,80,0.00,0.00,0.56,0.56,0.56,280,POSTPAGO,,PLAN GEMELA,,65.9,,CABLE
5917,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,200,0.00,0.00,0.50,0.37,0.25,80,POSTPAGO,,PLAN GEMELA INAL  MBRICO,,65.9,,CABLE
5918,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,80,0.00,0.00,0.56,0.56,0.56,185,POSTPAGO,,PLAN GEMELA LINE NET,,65.9,,CABLE
5945,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,no socios,80,0.00,0.00,0.56,0.56,0.56,280,PREPAGO,,PLAN USUARIO,,91.59,,CABLE
5946,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,no socios,200,0.00,0.00,0.50,0.37,0.25,80,PREPAGO,,PLAN USUARIO INAL  MBRICO,,91.59,,CABLE
